time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
217088,106,147,-13.670573339999999,676.29,1476,0.01484375,1050,-4.469765549898147,-0.004900495952460915,0.7074543535709381,-0.017426028847694397,0.17621031552553176,3e-05,0.1,0.001436813,,
219136,107,147,-13.191145739999998,679.94,1481,0.0,1060,-4.450845140218735,-0.0019393769762245938,0.8868718519806862,0.1715066134929657,0.8290928188711405,3e-05,0.1,0.0002290181,,
220000,,,,,,0.002392578125,1070,-4.464315712451935,-0.003651544501190074,0.8234434425830841,0.3726758062839508,1.2540761280804873,3e-05,0.1,0.00066927116,-21.393966674804688,629.8
221184,108,148,-12.692402460000004,680.92,1493,,,,,,,,,,,,
223232,109,148,-11.921774079999999,678.68,1498,0.0234375,1080,-4.46376411318779,-0.004865070525556803,0.7063781321048737,0.3760157525539398,1.0255991401150824,3e-05,0.1,0.0014200376,,
225280,110,149,-11.488686080000003,675.32,1503,0.0,1090,-4.449993926286697,-0.002237967326072976,0.9475920759141445,0.18549977242946625,1.1438771981745959,3e-05,0.1,0.00029777578,,
227328,111,150,-13.004513280000001,681.61,1509,0.005322265625,1100,-4.457746094465255,-0.003668026759987697,0.4585641026496887,0.018637657165527344,0.7052713957615196,3e-05,0.1,0.00091523153,,
229376,112,149,-15.17950126,688.99,1531,0.0,1110,-4.444527554512024,-0.0006546894961502403,0.5315566956996918,20.853919982910156,33.965478390455246,3e-05,0.1,3.2481126e-05,,
230000,,,,,,0.0,1120,-4.443862009048462,-0.00046781981072854253,0.4404258728027344,21.098163604736328,72.65573469400405,3e-05,0.1,1.5360129e-05,-5.791006755828858,722.0
231424,113,147,-14.99176486,693.16,1564,,,,,,,,,,,,
233472,114,147,-16.39652782,701.82,1579,0.01103515625,1130,-4.465001058578491,-0.004894683812744915,0.8999919220805168,0.09069718420505524,0.4594195930287242,3e-05,0.1,0.0009362503,,
235520,115,147,-15.210608059999997,695.23,1598,0.0,1140,-4.431742000579834,-0.0008647185095469467,0.5674031674861908,13.046329498291016,40.95248697698116,3e-05,0.1,6.540393e-05,,
237568,116,146,-16.441110560000002,693.97,1620,0.00146484375,1150,-4.440095865726471,-0.0025273944222135468,0.9402492195367813,0.10359694808721542,0.85820981413126,3e-05,0.1,0.0005333866,,
239616,117,146,-16.53934859,682.87,1639,0.0,1160,-4.441649949550628,-0.0013588616013294086,0.6483043134212494,17.829416275024414,39.164434814453124,3e-05,0.1,0.00015768709,,
240000,,,,,,0.00244140625,1170,-4.450554752349854,-0.0038315757643431424,0.8370886743068695,0.37048882246017456,1.7333458334207534,3e-05,0.1,0.00053464144,-20.27750446796417,670.4
241664,118,145,-16.341368789999997,682.35,1665,,,,,,,,,,,,
243712,119,144,-16.42089799,677.09,1684,0.001806640625,1180,-4.446394276618958,-0.0031875403605226894,0.9212815016508102,0.2137143909931183,1.0911817960441113,3e-05,0.1,0.0004942934,,
245760,120,144,-16.2776606,674.35,1703,0.018798828125,1190,-4.452759051322937,-0.006283637133310549,0.9581042565405369,0.10271383076906204,0.4213697141967714,3e-05,0.1,0.0016674504,,
247808,121,143,-16.34262033,666.6,1724,0.0,1200,-4.444050222635269,-0.0012725079199299217,0.9049429073929787,0.26105305552482605,1.5899194933474063,3e-05,0.1,0.00016301437,,
249856,122,143,-14.242005869999998,656.52,1739,0.0,1210,-4.466504043340683,-0.002452031749999151,0.972892489284277,0.05461794137954712,0.3525399395264685,3e-05,0.1,0.00033997098,,
