time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
119,576,9.95608193,94.82,422,243712,3e-05,3.4385621294379236,0.6936571598052979,0.6863225698471069,1180,0.0010742244,-2.9438043892383576,0.003564453125,-0.00437083255383186,0.1,,
120,581,9.26277234,95.32,422,245760,3e-05,3.0131092369556427,0.5916863083839417,0.7522367238998413,1190,0.0010618308,-2.945336064696312,0.002294921875,-0.0038387931868783197,0.1,,
121,585,9.56690479,94.5,423,247808,3e-05,4.168510311841965,0.8808209300041199,0.7920392155647278,1200,0.0007390197,-2.9865916669368744,0.002001953125,-0.00303528462536633,0.1,,
122,591,8.21066733,93.85,422,249856,3e-05,3.5476149186491965,0.44758230447769165,0.8120537996292114,1210,0.0010650512,-2.923792135715485,0.00224609375,-0.004055518910172395,0.1,,
,,,,,250000,3e-05,5.335049556195736,1.6132640838623047,0.8316639065742493,1220,0.00028891454,-2.892102262377739,0.0,-0.0016505282910657115,0.1,2.5989226341247558,97.8
123,596,8.510896190000002,94.89,422,251904,,,,,,,,,,,,
124,601,8.4992687,94.38,422,253952,3e-05,3.8546236351132395,0.5527025461196899,0.8372686505317688,1230,0.00034595284,-2.9558201730251312,0.0,-0.0019402287813136353,0.1,,
125,605,9.333361389999999,94.06,422,256000,3e-05,3.152057959139347,0.8698293566703796,0.8342453241348267,1240,0.00049307616,-2.9066428661346437,0.0005859375,-0.002213073294842616,0.1,,
126,610,9.721332030000001,94.71,422,258048,3e-05,2.9087057575583457,0.5499427318572998,0.7476539611816406,1250,0.0008640578,-2.919283798336983,0.00380859375,-0.0037204198364634068,0.1,,
,,,,,260000,3e-05,4.137049271166324,0.9806864857673645,0.7718863487243652,1260,0.000928386,-2.937977370619774,0.003662109375,-0.00327890942862723,0.1,11.69025535583496,95.6
127,615,9.64036802,94.72,422,260096,,,,,,,,,,,,
128,620,9.3809945,94.88,422,262144,3e-05,2.2600596442818643,0.43522709608078003,0.747374415397644,1270,0.0013004881,-2.9016882866621017,0.01201171875,-0.004210090692504309,0.1,,
129,625,9.831524,94.65,422,264192,3e-05,2.9063164249062536,0.6224030256271362,0.8520883917808533,1280,0.0006033523,-2.9489350497722624,0.000732421875,-0.002946923073614016,0.1,,
130,629,9.591239459999999,94.76,422,266240,3e-05,2.571068598330021,0.44240251183509827,0.8421168327331543,1290,0.001121982,-2.896211701631546,0.007861328125,-0.003973495791433379,0.1,,
131,634,10.53538717,93.56,423,268288,3e-05,2.8382616147398947,0.5073217153549194,0.8574792146682739,1300,0.00084544974,-2.882558900117874,0.001953125,-0.0031835422007134183,0.1,,
,,,,,270000,3e-05,2.9191187508404255,0.6449059844017029,0.8781698346138,1310,0.00075416826,-2.8215167820453644,0.00205078125,-0.0031671570250182413,0.1,10.033620154857635,95.8
132,639,10.709196429999999,91.89,422,270336,,,,,,,,,,,,
