time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
,,,240000,,,-0.008109270806744461,0.0003,0.2,-1.08508480489254,0.7984051704406738,1170,0.085498046875,0.8013051748275757,0.01018874,2.4602246169000863,3.0143274784088137,65.4
2857,-3.95153915,118,241664,68.83,84,,,,,,,,,,,,
2860,-3.6108663900000004,119,243712,68.95,85,-0.00698740037769312,0.0003,0.2,-1.0939148573204875,0.656120240688324,1180,0.103857421875,0.6904271245002747,0.009066347,2.674124598503113,,
2863,-2.9202414799999996,120,245760,67.75,85,-0.005739375844132155,0.0003,0.2,-1.1212913814932108,0.5587359666824341,1190,0.1296875,0.7662602663040161,0.01589068,1.5557500960305333,,
2866,-2.6740307099999994,121,247808,67.86,86,-0.004566644443548285,0.0003,0.2,-1.1067895613610745,0.7830424904823303,1200,0.082421875,0.7845385074615479,0.009047979,2.478081790357828,,
2869,-1.9905367900000002,122,249856,67.11,87,-0.007434570674377028,0.0003,0.2,-1.08838924523443,0.5796693563461304,1210,0.11015625,0.7509897947311401,0.012390517,1.8329576881602407,,
,,,250000,,,-0.007014063924725633,0.0003,0.2,-1.0719065381214024,0.9772326350212097,1220,0.12744140625,0.7816895842552185,0.011418607,2.374011132493615,-0.897619104385376,62.4
2873,-1.7146178399999996,123,251904,67.36,87,,,,,,,,,,,,
2876,-1.57011486,124,253952,66.67,88,-0.005060989042249275,0.0003,0.2,-1.0834549337625503,0.39925092458724976,1230,0.07841796875,0.8233134746551514,0.0068931174,2.2435262560844422,,
2879,-2.0746185699999997,125,256000,66.88,88,-0.006727019089157693,0.0003,0.2,-1.0546061098575592,0.9182562828063965,1240,0.14697265625,0.850996732711792,0.014306614,1.9584779964759946,,
2882,-1.59872488,126,258048,66.3,89,-0.008159052030532622,0.0003,0.2,-1.0651213360950351,0.4513806700706482,1250,0.09326171875,0.7908983826637268,0.009346668,1.8599380427971481,,
,,,260000,,,-0.009390859204722801,0.0003,0.2,-1.0524270741268993,0.9830300211906433,1260,0.10556640625,0.7986130714416504,0.008219764,2.0806281376630067,2.9930280804634095,63.6
2886,-2.1003802799999995,127,260096,67.51,90,,,,,,,,,,,,
2889,-2.18913137,128,262144,67.9,90,-0.007856673808419146,0.0003,0.2,-1.0745549339801073,0.5312932729721069,1270,0.09482421875,0.8159689903259277,0.009333674,1.7997320948168636,,
2892,-2.84545876,129,264192,67.96,91,-0.008222718458273447,0.0003,0.2,-1.0285885285586118,0.29954418540000916,1280,0.09208984375,0.8198847770690918,0.0079988,1.7140146037563682,,
